Name,NumberOfVotes,VotesAgainst,DIISum,DIIAvg
Buchanan,77,3,190.91666666666666,2.479437229437229
Diaz-Balart,77,2,149.125,1.9366883116883118
Upton,78,1,56.916666666666664,0.7297008547008547
Conaway,78,2,98.25,1.2596153846153846
Jolly,76,6,413.4583333333333,5.4402412280701755
Flores,78,2,112.91666666666666,1.4476495726495726
Farenthold,77,3,193.66666666666663,2.5151515151515147
Marino,76,1,56.916666666666664,0.7489035087719298
Kline,77,1,56.916666666666664,0.7391774891774892
Pearce,76,5,274.49999999999994,3.611842105263157
Bishop (MI),78,0,0,0
Dold,77,13,1164.7916666666665,15.1271645021645
Babin,78,2,136.29166666666666,1.7473290598290596
Newhouse,78,1,56.916666666666664,0.7297008547008547
Buck,73,11,772.75,10.585616438356164
Bost,78,2,147.29166666666666,1.8883547008547008
Blum,78,5,279.0833333333333,3.5779914529914527
Garrett,77,8,374.66666666666663,4.865800865800865
"Davis, Rodney",76,2,156.91666666666666,2.0646929824561404
Boehner,3,0,0,0
Lucas,77,1,56.916666666666664,0.7391774891774892
Mica,78,1,56.916666666666664,0.7297008547008547
Crawford,72,1,42.70833333333333,0.5931712962962963
Katko,77,5,435.37499999999994,5.654220779220778
Granger,75,2,112.45833333333333,1.4994444444444444
"Hice, Jody B.",78,10,667.7083333333334,8.560363247863249
Hardy,78,1,56.916666666666664,0.7297008547008547
Hurd (TX),78,2,112.45833333333333,1.4417735042735043
Hill,78,0,0,0
LoBiondo,78,9,786.3333333333333,10.081196581196581
Simpson,78,2,147.29166666666666,1.8883547008547008
Shuster,77,1,56.916666666666664,0.7391774891774892
Brady (TX),76,1,56.916666666666664,0.7489035087719298
Royce,78,1,55.541666666666664,0.7120726495726496
Sessions,78,2,112.45833333333333,1.4417735042735043
Kinzinger (IL),78,1,56.916666666666664,0.7297008547008547
Issa,78,6,304.8333333333333,3.908119658119658
Salmon,77,11,630.6666666666666,8.19047619047619
Kelly (PA),78,1,56.916666666666664,0.7297008547008547
"Johnson, Sam",76,4,212.54166666666663,2.796600877192982
Barr,78,1,55.541666666666664,0.7120726495726496
Bridenstine,78,10,471.0833333333333,6.039529914529914
Brooks (IN),76,1,56.916666666666664,0.7489035087719298
Yoho,76,4,290.4583333333333,3.8218201754385963
Guthrie,77,0,0,0
Byrne,75,5,236.45833333333331,3.1527777777777777
Gohmert,78,10,657.1666666666666,8.425213675213675
Poliquin,77,5,367.0833333333333,4.767316017316017
Coffman,77,2,188.08333333333331,2.4426406926406923
Paulsen,77,1,56.916666666666664,0.7391774891774892
McClintock,77,8,449.37499999999994,5.836038961038961
"Price, Tom",77,2,98.25,1.275974025974026
Webster (FL),78,0,0,0
Poe (TX),76,7,443.79166666666663,5.839364035087719
Cook,77,1,56.916666666666664,0.7391774891774892
Cramer,78,1,56.916666666666664,0.7297008547008547
Posey,78,7,454.79166666666663,5.830662393162393
Collins (NY),77,1,56.916666666666664,0.7391774891774892
Collins (GA),77,2,112.91666666666666,1.4664502164502162
Duncan (SC),74,6,328.2083333333333,4.435247747747748
Hurt (VA),78,1,93.58333333333333,1.1997863247863247
Hudson,71,2,149.125,2.1003521126760565
Sensenbrenner,78,12,791.1666666666667,10.143162393162394
Holding,78,2,98.25,1.2596153846153846
Chabot,78,1,55.541666666666664,0.7120726495726496
Ryan (WI),78,0,0,0
Rogers (AL),78,2,112.45833333333333,1.4417735042735043
Fortenberry,76,3,219.79166666666666,2.8919956140350878
Reichert,76,3,237.20833333333331,3.1211622807017543
McCarthy,78,0,0,0
DesJarlais,76,10,600.3333333333334,7.8991228070175445
Jones,76,36,2623.2916666666674,34.516995614035096
Neugebauer,78,5,273.12499999999994,3.5016025641025634
Walorski,77,2,112.45833333333333,1.4604978354978355
Wagner,70,1,56.916666666666664,0.8130952380952381
Ellmers (NC),77,2,149.125,1.9366883116883118
Woodall,77,2,102.375,1.3295454545454546
Williams,76,2,136.29166666666666,1.7933114035087718
Wenstrup,77,4,292.29166666666663,3.7959956709956706
Weber (TX),78,7,379.16666666666663,4.861111111111111
Nunes,78,1,56.916666666666664,0.7297008547008547
Walker,77,5,307.9583333333333,3.9994588744588744
Noem,74,2,118.41666666666666,1.6002252252252251
Nugent,76,3,188.16666666666666,2.475877192982456
Nunnelee,0,0,0,0
Kelly (MS),31,1,56.916666666666664,1.836021505376344
Amash,78,26,1790.5833333333328,22.956196581196576
McMorris Rodgers,78,1,56.916666666666664,0.7297008547008547
Marchant,74,3,164.33333333333331,2.2207207207207205
Murphy (PA),76,1,56.916666666666664,0.7489035087719298
Miller (MI),78,1,56.916666666666664,0.7297008547008547
McCaul,78,1,55.541666666666664,0.7120726495726496
Frelinghuysen,78,2,146.375,1.876602564102564
Amodei,74,4,161.20833333333331,2.1784909909909906
Knight,77,2,112.45833333333333,1.4604978354978355
Fincher,66,3,193.20833333333331,2.9273989898989896
Fleischmann,77,1,55.541666666666664,0.7213203463203463
Fleming,78,9,581.9166666666666,7.460470085470085
Rogers (KY),77,1,56.916666666666664,0.7391774891774892
Lance,78,1,74.33333333333333,0.9529914529914529
Foxx,78,1,55.541666666666664,0.7120726495726496
Fitzpatrick,76,5,325.37499999999994,4.281249999999999
Walberg,78,0,0,0
Hensarling,78,2,98.25,1.2596153846153846
Luetkemeyer,78,1,56.916666666666664,0.7297008547008547
Wilson (SC),76,2,112.45833333333333,1.4797149122807016
Westmoreland,76,3,155.625,2.0476973684210527
Olson,75,2,149.125,1.9883333333333333
Whitfield,72,1,80.29166666666666,1.115162037037037
Walden,78,1,56.916666666666664,0.7297008547008547
Pitts,78,3,245.91666666666663,3.1527777777777772
Thompson (PA),78,3,246.375,3.1586538461538463
Wittman,77,2,130.33333333333331,1.6926406926406925
Turner,77,1,56.916666666666664,0.7391774891774892
Tiberi,78,1,56.916666666666664,0.7297008547008547
Womack,78,1,56.916666666666664,0.7297008547008547
Smith (MO),78,3,155.16666666666666,1.9893162393162391
Emmer (MN),78,1,45.45833333333333,0.5827991452991452
Abraham,78,0,0,0
Yoder,77,5,308.875,4.011363636363637
Allen,78,1,55.541666666666664,0.7120726495726496
Brat,76,8,412.70833333333326,5.430372807017543
Young (IN),74,0,0,0
Stewart,76,2,98.25,1.292763157894737
Miller (FL),78,3,198.70833333333331,2.5475427350427347
Smith (TX),77,2,136.29166666666666,1.7700216450216448
Stefanik,78,3,245.0,3.141025641025641
