Name,NumberOfVotes,VotesAgainst,DIISum,DIIAvg
Amodei,536,34,2396.2499999999995,4.470615671641791
Knight,565,26,1814.4166666666667,3.2113569321533926
Fincher,505,35,2407.3333333333335,4.766996699669967
Fleischmann,567,37,2547.291666666666,4.492577895355672
Fleming,570,57,3992.7083333333335,7.004751461988304
Rogers (KY),573,23,1700.5000000000002,2.9677137870855153
Lance,577,51,4090.2916666666665,7.088893703061814
Foxx,577,45,3162.5833333333326,5.481080300404389
Fitzpatrick,559,80,6635.083333333333,11.869558735837805
Walberg,570,27,2146.333333333333,3.7654970760233915
Hensarling,577,23,1477.2916666666665,2.5602975158867705
Luetkemeyer,573,33,2300.8333333333335,4.015415939499709
Wilson (SC),557,24,1685.0000000000002,3.0251346499102336
Westmoreland,552,52,3133.833333333333,5.677234299516908
Olson,561,27,1795.7083333333333,3.2009061200237667
Whitfield,563,36,2852.458333333333,5.066533451746595
Walden,570,32,2451.0833333333335,4.30014619883041
Pitts,568,22,1606.4583333333333,2.8282717136150235
Thompson (PA),576,59,4624.916666666667,8.029369212962964
Wittman,573,33,2502.0416666666656,4.36656486329261
Turner,564,49,4032.3750000000005,7.149601063829788
Tiberi,560,34,2639.1666666666656,4.712797619047617
Womack,577,26,1836.875,3.1834922010398614
Smith (MO),568,39,2805.4999999999995,4.939260563380281
Emmer (MN),576,47,3311.7083333333335,5.7494936342592595
Abraham,575,27,1900.2083333333333,3.3047101449275362
Yoder,573,48,3441.499999999999,6.006108202443279
Allen,575,28,1781.5833333333333,3.098405797101449
Brat,569,55,3171.666666666667,5.574106619800821
Young (IN),544,22,1631.6666666666665,2.9993872549019605
Stewart,546,26,1808.0,3.311355311355311
Miller (FL),547,38,2766.9166666666665,5.058348567946374
Smith (TX),565,28,1825.1250000000002,3.2303097345132747
Stefanik,577,60,5032.916666666666,8.722559214326978
